Country,Product_name,Quantity_purchased,Crop_name,Feedback,Comments,Price,Total_price,Manufacturing,Transaction_date,Expiration,Review
Bhutan,Biscuit,68,"['Wheat', 'Sugar', 'Barley']",0,No Feedback,25,1700,2022-04-27,2022-06-19,2022-07-26,No feedback
India,Nachos,93,['Maize'],1,Very Poor,65,6045,2024-09-17,2024-10-28,2024-12-16,Very poor quality.
Bangladesh,Banana Chips,11,['Banana'],0,No Feedback,35,385,2024-11-12,2025-01-14,2025-02-10,No feedback
Bangladesh,Pasta,21,"['Wheat', 'Barley']",4,Good,95,1995,2021-07-15,2021-09-11,2021-10-13,Satisfactory purchase.
Pakistan,Khari,40,['Cumin'],2,Poor,25,1000,2025-01-17,2025-03-31,2025-04-17,Below average product.
India,Pie,56,['Sugar'],3,Average,50,2800,2025-02-10,2025-03-10,2025-05-11,Okay for the price.
Nepal,Biscuit,74,"['Wheat', 'Sugar', 'Barley']",5,Excellent,24,1776,2022-09-02,2022-10-18,2022-12-01,Outstanding product quality!
India,Maggi,13,['Wheat'],2,Poor,25,325,2021-02-23,2021-04-01,2021-05-24,Below average product.
India,Pie,58,['Sugar'],4,Good,50,2900,2021-04-15,2021-06-27,2021-07-14,Quite happy with the product.
Sri-Lanka,Maggi,92,['Wheat'],3,Average,30,2760,2020-03-06,2020-04-11,2020-06-04,"Average product, nothing special."
Bhutan,Biscuit,93,"['Wheat', 'Sugar', 'Barley']",3,Average,25,2325,2020-06-19,2020-08-18,2020-09-17,Decent product overall.
Bhutan,Maggi,14,['Wheat'],1,Very Poor,25,350,2020-05-26,2020-07-12,2020-08-24,Disappointed with the product.
Nepal,Maggi,16,['Wheat'],3,Average,25,400,2025-03-10,2025-05-27,2025-06-08,Decent product overall.
Bhutan,Pasta,22,"['Wheat', 'Barley']",5,Excellent,105,2310,2023-11-19,2024-01-27,2024-02-17,Outstanding product quality!
Sri-Lanka,Pasta,42,"['Wheat', 'Barley']",3,Average,100,4200,2024-03-13,2024-04-23,2024-06-11,"Average product, nothing special."
Sri-Lanka,Pie,40,['Sugar'],0,No Feedback,35,1400,2023-03-12,2023-05-09,2023-06-10,No feedback
Bangladesh,Biscuit,27,"['Wheat', 'Sugar', 'Barley']",1,Very Poor,18,486,2020-04-27,2020-07-19,2020-07-26,Very poor quality.
Sri-Lanka,Cookie,24,"['Barley', 'Sugar']",5,Excellent,85,2040,2022-06-09,2022-08-05,2022-09-07,Exceeded my expectations!
Sri-Lanka,Biscuit,78,"['Wheat', 'Sugar', 'Barley']",1,Very Poor,22,1716,2023-08-16,2023-09-14,2023-11-14,Disappointed with the product.
Pakistan,Maggi,43,['Wheat'],2,Poor,15,645,2022-08-05,2022-09-02,2022-11-03,"Not great, needs improvement."
Sri-Lanka,Ketchup,67,['Tomato'],2,Poor,50,3350,2022-09-05,2022-10-04,2022-12-04,"Not great, needs improvement."
Bangladesh,Nachos,90,['Maize'],0,No Feedback,35,3150,2024-08-28,2024-09-14,2024-11-26,No feedback
Nepal,Banana Chips,79,['Banana'],5,Excellent,45,3555,2021-11-19,2022-01-18,2022-02-17,Exceeded my expectations!
Bhutan,Pasta,97,"['Wheat', 'Barley']",0,No Feedback,105,10185,2021-08-02,2021-08-29,2021-10-31,No feedback
Pakistan,Pasta,46,"['Wheat', 'Barley']",5,Excellent,75,3450,2024-10-21,2025-01-14,2025-01-19,Exceeded my expectations!
Bhutan,Khari,26,['Cumin'],4,Good,45,1170,2022-06-28,2022-09-15,2022-09-26,"Good product, no issues."
Pakistan,Nachos,86,['Maize'],4,Good,60,5160,2021-07-11,2021-09-18,2021-10-09,"Good product, no issues."
Nepal,Pie,36,['Sugar'],4,Good,45,1620,2021-11-29,2022-02-09,2022-02-27,Satisfactory purchase.
