Country,Product_name,Quantity_purchased,Crop_name,Feedback,Comments,Price,Total_price,Manufacturing,Transaction_date,Expiration,Review,TextBlob_Polarity,TextBlob_Subjectivity,NLTK_Negative,NLTK_Neutral,NLTK_Positive,NLTK_Compound,Sentiment_Class
Bhutan,Biscuit,68,"['Wheat', 'Sugar', 'Barley']",0,No Feedback,25,1700,2022-04-27,2022-06-19,2022-07-26,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
India,Nachos,93,['Maize'],1,Very Poor,65,6045,2024-09-17,2024-10-28,2024-12-16,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Bangladesh,Banana Chips,11,['Banana'],0,No Feedback,35,385,2024-11-12,2025-01-14,2025-02-10,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bangladesh,Pasta,21,"['Wheat', 'Barley']",4,Good,95,1995,2021-07-15,2021-09-11,2021-10-13,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
Pakistan,Khari,40,['Cumin'],2,Poor,25,1000,2025-01-17,2025-03-31,2025-04-17,Below average product.,-0.15,0.39999999999999997,0.0,1.0,0.0,0.0,Neutral
India,Pie,56,['Sugar'],3,Average,50,2800,2025-02-10,2025-03-10,2025-05-11,Okay for the price.,0.5,0.5,0.0,0.612,0.388,0.2263,Positive
Nepal,Biscuit,74,"['Wheat', 'Sugar', 'Barley']",5,Excellent,24,1776,2022-09-02,2022-10-18,2022-12-01,Outstanding product quality!,0.625,0.875,0.0,0.318,0.682,0.6476,Positive
India,Maggi,13,['Wheat'],2,Poor,25,325,2021-02-23,2021-04-01,2021-05-24,Below average product.,-0.15,0.39999999999999997,0.0,1.0,0.0,0.0,Neutral
India,Pie,58,['Sugar'],4,Good,50,2900,2021-04-15,2021-06-27,2021-07-14,Quite happy with the product.,0.8,1.0,0.0,0.5,0.5,0.6115,Positive
Sri-Lanka,Maggi,92,['Wheat'],3,Average,30,2760,2020-03-06,2020-04-11,2020-06-04,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Bhutan,Biscuit,93,"['Wheat', 'Sugar', 'Barley']",3,Average,25,2325,2020-06-19,2020-08-18,2020-09-17,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
